CO2_pct,RFU,RFU_STDEV
100,632.0878601,129.7248276
50,387.194519,30.29442698
25,190.701533,10.71045053
12.5,96.18381499,11.34603628
6.3,67.38521449,4.328675402
3.1,58.94048436,1.535511926
1.5,47.96960576,9.881288633
0,27.19848385,1.16541378
